Solution 1:
Total Switches: 907
Boundary Edges (571):
  ngx_writev_file:420 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_writev_file:406 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_writev_chain:51 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_writev:194 -> ngx_connection_error:1457, Weight: 0, Domains: 0 -> 1
  ngx_write_channel:81 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_worker_process_init:958 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_worker_process_init:901 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_worker_process_init:828 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_worker_process_init:817 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_worker_process_init:799 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_worker_process_exit:1032 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_worker_process_exit:989 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_worker_process_cycle:739 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_unload_module:1584 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_unix_send:33 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_unix_send:33 -> ngx_connection_error:1457, Weight: 0, Domains: 0 -> 1
  ngx_udp_unix_sendmsg_chain:56 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_udp_unix_recv:22 -> ngx_connection_error:1457, Weight: 0, Domains: 0 -> 1
  ngx_udp_connect:4445 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_time_update:169 -> ngx_sprintf:123, Weight: 6, Domains: 0 -> 1
  ngx_time_update:125 -> ngx_sprintf:123, Weight: 6, Domains: 0 -> 1
  ngx_http_wait_request_handler:458 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_upstream_status_variable:5351 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_http_read_request_header:1442 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_range_singlepart_header:444 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_init_cycle:852 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_log_stderr:270 -> ngx_vslprintf:165, Weight: 0, Domains: 0 -> 1
  ngx_os_specific_status:58 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_keepalive_handler:3152 -> ngx_palloc:126, Weight: 1, Domains: 0 -> 1
  ngx_http_range_not_satisfiable:604 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_master_process_cycle:140 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_range_multipart_header:483 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_create_pidfile:972 -> ngx_snprintf:137, Weight: 1, Domains: 0 -> 1
  ngx_init_setproctitle:60 -> ngx_cpystrn:51, Weight: 81, Domains: 0 -> 1
  ngx_http_process_request_uri:1110 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_http_process_request_uri:1110 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_process_request_line:960 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_read_client_request_body:151 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_process_request_header:1825 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_process_request_header:1818 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_process_host:1665 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_array_push:54 -> ngx_palloc:126, Weight: 7, Domains: 0 -> 1
  ngx_proxy_protocol_read:109 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_http_add_location:848 -> ngx_palloc:126, Weight: 1, Domains: 0 -> 1
  ngx_http_named_location:2518 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_pid:2269 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_http_named_location:2461 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_conf_log_error:1013 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_map_uri_to_path:1848 -> ngx_cpystrn:51, Weight: 2, Domains: 0 -> 1
  ngx_http_map_uri_to_path:1793 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_log_set_log:1468 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_http_log_script_write:561 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_log_request_time:850 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_inet_resolve_host:1122 -> ngx_cpystrn:51, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_bytes_sent:1712 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_epoll_test_rdhup:520 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_set_response_header:635 -> ngx_list_push:33, Weight: 0, Domains: 0 -> 1
  ngx_http_log_compile_format:1613 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_http_log_body_bytes_sent:897 -> ngx_sprintf:123, Weight: 1, Domains: 0 -> 1
  ngx_execute_proc:274 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_epoll_test_rdhup:501 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_keepalive_handler:3212 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_read_discarded_request_body:671 -> ngx_udp_unix_send:16, Weight: 0, Domains: 0 -> 1
  ngx_channel_handler:1054 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_range_singlepart_header:432 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_http_read_request_header:1421 -> ngx_udp_unix_send:16, Weight: 0, Domains: 0 -> 1
  ngx_http_index_test_dir:360 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_range_test_overlapped:689 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_headers_expires:766 -> ngx_palloc:126, Weight: 0, Domains: 0 -> 1
  ngx_http_upstream_response_time_variable:5417 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_http_index_error:378 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_index_error:371 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_open_cached_file:366 -> ngx_alloc:20, Weight: 0, Domains: 0 -> 1
  ngx_syslog_cleanup:374 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_header_filter:443 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_open_listening_sockets:425 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_open_listening_sockets:425 -> ngx_nonblocking:29, Weight: 1, Domains: 0 -> 1
  ngx_udp_connect:4412 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_get_indexed_variable:609 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_srv:2895 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_a:1964 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_file_o_path_info:585 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_finalize_request:2477 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_output_chain_copy_buf:525 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_output_chain_copy_buf:525 -> ngx_read_file:33, Weight: 0, Domains: 0 -> 1
  ngx_http_get_variable_index:572 -> ngx_pnalloc:139, Weight: 5, Domains: 0 -> 1
  ngx_http_map_uri_to_path:1800 -> ngx_pnalloc:139, Weight: 2, Domains: 0 -> 1
  ngx_conf_log_error:1004 -> ngx_log_errno:290, Weight: 0, Domains: 0 -> 1
  ngx_http_disable_symlinks:4962 -> ngx_palloc:126, Weight: 0, Domains: 0 -> 1
  ngx_daemon:17 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_add_prefix_variable:512 -> ngx_pnalloc:139, Weight: 8, Domains: 0 -> 1
  ngx_init_cycle:105 -> ngx_cpystrn:51, Weight: 1, Domains: 0 -> 1
  ngx_http_header_filter:517 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_http_upstream_copy_last_modified:5030 -> ngx_list_push:33, Weight: 0, Domains: 0 -> 1
  ngx_http_process_request_headers:1247 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_process_request_headers:1247 -> ngx_list_push:33, Weight: 4, Domains: 0 -> 1
  ngx_http_process_request_headers:1247 -> ngx_pnalloc:139, Weight: 4, Domains: 0 -> 1
  ngx_http_log_status:872 -> ngx_sprintf:123, Weight: 1, Domains: 0 -> 1
  ngx_linux_sendfile:261 -> ngx_connection_error:1457, Weight: 0, Domains: 0 -> 1
  ngx_http_named_location:2470 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_hash_add_key:839 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_http_log_request_length:911 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_pid:2264 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_close_connection:1181 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_create_pidfile:966 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_upstream_update_random:134 -> ngx_alloc:20, Weight: 0, Domains: 0 -> 1
  ngx_http_internal_redirect:2404 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_discard_request_body_filter:718 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_hash_init:260 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_tcpinfo:1125 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
