Solution 1:
Total Switches: 1214
Boundary Edges (1789):
  ngx_write_chain_to_file:302 -> ngx_write_file:195, Weight: 0, Domains: 0 -> 1
  ngx_utf8_length:1375 -> ngx_utf8_decode:1313, Weight: 0, Domains: 0 -> 1
  ngx_unix_send:33 -> ngx_connection_error:1457, Weight: 0, Domains: 0 -> 1
  ngx_unix_send:33 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_unix_recv:68 -> ngx_connection_error:1457, Weight: 0, Domains: 0 -> 1
  ngx_udp_unix_sendmsg_chain:56 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_udp_unix_sendmsg_chain:56 -> ngx_debug_point:614, Weight: 0, Domains: 0 -> 1
  ngx_udp_unix_send:22 -> ngx_connection_error:1457, Weight: 0, Domains: 0 -> 1
  ngx_udp_output_chain_to_iovec:129 -> ngx_debug_point:614, Weight: 0, Domains: 0 -> 1
  ngx_udp_output_chain_to_iovec:129 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_udp_connect:4412 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_tcp_connect:4507 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_tcp_connect:4498 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_tcp_connect:4490 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_syslog_process_conf:76 -> ngx_pool_cleanup_add:314, Weight: 0, Domains: 0 -> 1
  ngx_syslog_parse_args:101 -> ngx_conf_log_error:995, Weight: 0, Domains: 0 -> 1
  ngx_strerror_init:84 -> ngx_log_stderr:261, Weight: 0, Domains: 0 -> 1
  ngx_ssl_shutdown:2492 -> ngx_handle_write_event:334, Weight: 0, Domains: 0 -> 1
  ngx_ssl_shutdown:2492 -> ngx_handle_read_event:266, Weight: 0, Domains: 0 -> 1
  ngx_ssl_shutdown:2468 -> ngx_ssl_clear_error:2693, Weight: 1, Domains: 0 -> 1
  ngx_ssl_session_rbtree_insert_value:3385 -> ngx_memn2cmp:824, Weight: 0, Domains: 0 -> 1
  ngx_ssl_remove_session:3291 -> ngx_shmtx_lock:72, Weight: 0, Domains: 0 -> 1
  ngx_ssl_read_password_file:956 -> ngx_conf_log_error:995, Weight: 0, Domains: 0 -> 1
  ngx_ssl_read_password_file:945 -> ngx_array_create:15, Weight: 0, Domains: 0 -> 1
  ngx_ssl_read_password_file:944 -> ngx_pool_cleanup_add:314, Weight: 0, Domains: 0 -> 1
  ngx_ssl_password_callback:643 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_ssl_password_callback:637 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_ssl_parse_time:4738 -> ngx_parse_http_time:17, Weight: 0, Domains: 0 -> 1
  ngx_ssl_new_session:3131 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_ssl_new_session:3125 -> ngx_slab_free_locked:463, Weight: 0, Domains: 0 -> 1
  ngx_ssl_new_session:3115 -> ngx_shmtx_unlock:139, Weight: 2, Domains: 0 -> 1
  ngx_ssl_new_session:3023 -> ngx_shmtx_lock:72, Weight: 2, Domains: 0 -> 1
  ngx_udp_connect:4445 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_ssl_init:231 -> ngx_ssl_error:2704, Weight: 0, Domains: 0 -> 1
  ngx_ssl_init:223 -> ngx_ssl_error:2704, Weight: 0, Domains: 0 -> 1
  ngx_ssl_init:215 -> ngx_ssl_error:2704, Weight: 0, Domains: 0 -> 1
  ngx_ssl_init:199 -> ngx_ssl_error:2704, Weight: 0, Domains: 0 -> 1
  ngx_ssl_handshake:1449 -> ngx_connection_error:1457, Weight: 0, Domains: 0 -> 1
  ngx_ssl_handshake:1427 -> ngx_handle_write_event:334, Weight: 0, Domains: 0 -> 1
  ngx_ssl_handshake:1427 -> ngx_handle_read_event:266, Weight: 0, Domains: 0 -> 1
  ngx_ssl_handshake:1364 -> ngx_ssl_clear_error:2693, Weight: 1, Domains: 0 -> 1
  ngx_ssl_handle_recv:1989 -> ngx_handle_write_event:334, Weight: 0, Domains: 0 -> 1
  ngx_ssl_handle_recv:1946 -> ngx_handle_write_event:334, Weight: 0, Domains: 0 -> 1
  ngx_ssl_get_subject_dn_legacy:4407 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_ssl_get_session_id:4071 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_ssl_get_serial_number:4490 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_ssl_get_fingerprint:4525 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_ssl_get_escaped_certificate:4272 -> ngx_escape_uri:1443, Weight: 0, Domains: 0 -> 1
  ngx_ssl_get_escaped_certificate:4267 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_ssl_get_client_verify:4568 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_ssl_get_client_v_remain:4700 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_ssl_get_client_v_end:4647 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_ssl_get_certificate:4230 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_ssl_get_cached_session:3235 -> ngx_shmtx_unlock:139, Weight: 0, Domains: 0 -> 1
  ngx_ssl_get_cached_session:3183 -> ngx_memn2cmp:824, Weight: 0, Domains: 0 -> 1
  ngx_ssl_get_cached_session:3183 -> ngx_shmtx_unlock:139, Weight: 0, Domains: 0 -> 1
  ngx_ssl_get_cached_session:3183 -> ngx_rbtree_delete:159, Weight: 0, Domains: 0 -> 1
  ngx_ssl_get_cached_session:3183 -> ngx_slab_free_locked:463, Weight: 0, Domains: 0 -> 1
  ngx_ssl_create_connection:1286 -> ngx_ssl_error:2704, Weight: 0, Domains: 0 -> 1
  ngx_single_process_cycle:307 -> ngx_init_cycle:41, Weight: 0, Domains: 0 -> 1
  ngx_single_process_cycle:307 -> ngx_process_events_and_timers:196, Weight: 0, Domains: 0 -> 1
  ngx_single_process_cycle:307 -> ngx_reopen_files:1094, Weight: 0, Domains: 0 -> 1
  ngx_single_process_cycle:307 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
