Solution 1:
Total Switches: 289
Boundary Edges (220):
  xmitEL:2687 -> printoption:209, Weight: 0, Domains: 0 -> 1
  xmitEL:2686 -> ring_supplied:181, Weight: 0, Domains: 0 -> 1
  xmitEC:2693 -> ring_supplied:181, Weight: 0, Domains: 0 -> 1
  xmitAO:2674 -> ring_supplied:181, Weight: 0, Domains: 0 -> 1
  xmitEC:2694 -> printoption:209, Weight: 0, Domains: 0 -> 1
  unsetcmd:1181 -> control:243, Weight: 0, Domains: 0 -> 1
  unsetcmd:1181 -> Exit:1058, Weight: 0, Domains: 0 -> 1
  ttyflush:143 -> TerminalFlushOutput:248, Weight: 0, Domains: 1 -> 0
  ttyflush:140 -> ttyflush:142, Weight: 11, Domains: 0 -> 1
  togdebug:571 -> SetSockOpt:110, Weight: 0, Domains: 0 -> 1
  tn:2816 -> call:2916, Weight: 1, Domains: 1 -> 0
  telsnd:2158 -> command:2943, Weight: 0, Domains: 1 -> 0
  telsnd:2158 -> setconnmode:243, Weight: 0, Domains: 1 -> 0
  telsnd:2154 -> telsnd:2156, Weight: 0, Domains: 0 -> 1
  telsnd:2153 -> telsnd:2154, Weight: 0, Domains: 1 -> 0
  tn:2792 -> cmdrc:3072, Weight: 0, Domains: 1 -> 0
  telrcv:1818 -> telrcv:1820, Weight: 6, Domains: 1 -> 0
  telnet:2445 -> tel_enter_binary:2858, Weight: 0, Domains: 1 -> 0
  telnet:2445 -> send_will:256, Weight: 0, Domains: 1 -> 0
  telnet:2445 -> send_do:224, Weight: 0, Domains: 1 -> 0
  sys_telnet_init:1037 -> setconnmode:243, Weight: 1, Domains: 1 -> 0
  sys_telnet_init:1016 -> sys_telnet_init:1018, Weight: 1, Domains: 0 -> 1
  suboption:839 -> lm_do:1167, Weight: 0, Domains: 1 -> 0
  suboption:839 -> lm_wont:1149, Weight: 0, Domains: 1 -> 0
  suboption:839 -> ring_supply_data:318, Weight: 1, Domains: 1 -> 0
  suboption:839 -> printsub:346, Weight: 1, Domains: 1 -> 0
  suboption:839 -> lm_will:1122, Weight: 0, Domains: 1 -> 0
  suboption:839 -> env_opt:1586, Weight: 0, Domains: 1 -> 0
  suboption:839 -> gettermname:786, Weight: 1, Domains: 1 -> 0
  suboption:839 -> ExitString:1065, Weight: 0, Domains: 1 -> 0
  suboption:839 -> TerminalSpeeds:868, Weight: 1, Domains: 1 -> 0
  suboption:839 -> setconnmode:243, Weight: 0, Domains: 1 -> 0
  suboption:839 -> lm_dont:1194, Weight: 0, Domains: 1 -> 0
