Solution 1:
Total Switches: 835
Boundary Edges (580):
  parse_set_cookie:371 -> strdupdelim:242, Weight: 0, Domains: 0 -> 1
  hash_table_new:287 -> prime_size:226, Weight: 0, Domains: 1 -> 0
  convert_links_in_hashtable:80 -> url_free:1207, Weight: 0, Domains: 0 -> 1
  convert_links_in_hashtable:80 -> hash_table_get:340, Weight: 0, Domains: 0 -> 1
  hash_table_new:274 -> hash_table_new:275, Weight: 6, Domains: 0 -> 1
  hsts_new_entry_internal:178 -> xstrdup_lower:229, Weight: 2, Domains: 0 -> 1
  getproxy:1290 -> getproxy:1291, Weight: 2, Domains: 1 -> 0
  gethttp:3778 -> request_free:391, Weight: 2, Domains: 1 -> 0
  gethttp:3662 -> logprintf:550, Weight: 1, Domains: 1 -> 0
  gethttp:3662 -> logputs:352, Weight: 1, Domains: 1 -> 0
  gethttp:3662 -> human_readable:1564, Weight: 0, Domains: 1 -> 0
  gethttp:3482 -> fd_close:1016, Weight: 0, Domains: 1 -> 0
  gethttp:3482 -> logprintf:550, Weight: 1, Domains: 1 -> 0
  gethttp:3451 -> resp_header_copy:734, Weight: 2, Domains: 1 -> 0
  gethttp:3451 -> parse_content_range:885, Weight: 0, Domains: 1 -> 0
  gethttp:3448 -> resp_header_strdup:752, Weight: 2, Domains: 1 -> 0
  gethttp:3114 -> fd_close:1016, Weight: 0, Domains: 1 -> 0
  gethttp:3216 -> logprintf:550, Weight: 2, Domains: 1 -> 0
  gethttp:3216 -> print_server_response:863, Weight: 0, Domains: 1 -> 0
  gethttp:3763 -> fd_close:1016, Weight: 0, Domains: 1 -> 0
  gethttp:3127 -> logprintf:550, Weight: 2, Domains: 1 -> 0
  gethttp:3085 -> fd_write:959, Weight: 0, Domains: 1 -> 0
  gethttp:3085 -> body_file_send:467, Weight: 0, Domains: 1 -> 0
  gethttp:3085 -> debug_logprintf:583, Weight: 0, Domains: 1 -> 0
  gethttp:3017 -> request_set_header:231, Weight: 2, Domains: 1 -> 0
  gethttp:3017 -> cookie_header:1016, Weight: 2, Domains: 1 -> 0
  gethttp:2966 -> gethttp:2969, Weight: 2, Domains: 0 -> 1
  write_backup_file:566 -> make_string_hash_table:665, Weight: 0, Domains: 0 -> 1
  establish_connection:2001 -> logprintf:550, Weight: 1, Domains: 1 -> 0
  establish_connection:2001 -> request_remove_header:295, Weight: 0, Domains: 1 -> 0
  establish_connection:2001 -> socket_family:608, Weight: 1, Domains: 1 -> 0
  establish_connection:2001 -> debug_logprintf:583, Weight: 0, Domains: 1 -> 0
  gethttp:2952 -> gethttp:2953, Weight: 2, Domains: 1 -> 0
  print_row_stats:291 -> logprintf:550, Weight: 0, Domains: 1 -> 0
  main:2033 -> human_readable:1564, Weight: 0, Domains: 1 -> 0
  main:2033 -> secs_to_human_time:993, Weight: 0, Domains: 1 -> 0
  main:2033 -> retr_rate:632, Weight: 0, Domains: 1 -> 0
  main:2033 -> logprintf:550, Weight: 0, Domains: 1 -> 0
  main:2033 -> ptimer_measure:362, Weight: 0, Domains: 1 -> 0
  gethttp:3157 -> debug_logprintf:583, Weight: 0, Domains: 1 -> 0
  gethttp:3157 -> fd_close:1016, Weight: 0, Domains: 1 -> 0
  gethttp:3157 -> resp_status:769, Weight: 2, Domains: 1 -> 0
